10 15
tuscia O 
skaicius 1 
skaicius 1 
skaicius 2 
skaicius 2 
mina # 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
mina # 
skaicius 3 
mina # 
skaicius 2 
skaicius 1 
skaicius 1 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 2 
mina # 
skaicius 2 
skaicius 2 
skaicius 1 
skaicius 2 
mina # 
skaicius 1 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
skaicius 1 
skaicius 2 
mina # 
skaicius 3 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
skaicius 1 
mina # 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 2 
mina # 
skaicius 2 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
skaicius 1 
skaicius 1 
skaicius 1 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
mina # 
skaicius 2 
skaicius 3 
mina # 
skaicius 3 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 2 
skaicius 3 
mina # 
mina # 
mina # 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
skaicius 1 
tuscia O 
skaicius 1 
mina # 
skaicius 3 
skaicius 3 
skaicius 2 
skaicius 1 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
tuscia O 
skaicius 1 
mina # 
